Body,Words in description (Greek),Number of sentiment terms,,,,Overall sentiment
,,Positive,Neutral,Negative,Total,
Saturn,182,4,21,50,75,-46/54 (-0.85)
Jupiter,91,24,16,0,40,24/24 (1.00)
Mars,154,8,25,39,72,-31/47 (-0.66)
Sun,83,18,12,0,30,18/18 (1.00)
Venus,181,27,30,0,57,27/27 (1.00)
Mercury,256,23,61,6,90,17/29 (0.59)
Moon,99,11,23,2,36,9/13 (0.69)
