"PLANET","sentiment","length"
"Saturn",-0.613333333333333,182
"Jupiter",0.6,91
"Mars",-0.430555555555556,154
"Sun",0.6,83
"Venus",0.473684210526316,181
"Mercury",0.188888888888889,256
"Moon",0.25,99
